TAXON_ORDER,category,English name,scientific name
2020,species,Brown Cuckoo-Dove,Macropygia phasianella
2021,species,Flores Sea Cuckoo-Dove,Macropygia macassariensis
2022,subspecies,,Macropygia macassariensis macassariensis
2023,subspecies,,Macropygia macassariensis longa
2024,species,Timor Cuckoo-Dove,Macropygia magna
2025,species,Tanimbar Cuckoo-Dove,Macropygia timorlaoensis
2026,species,Amboyna Cuckoo-Dove,Macropygia amboinensis
2027,subspecies,,Macropygia amboinensis amboinensis
2028,subspecies,,Macropygia amboinensis keyensis
2029,subspecies,,Macropygia amboinensis maforensis
2030,subspecies,,Macropygia amboinensis griseinucha
2031,subspecies,,Macropygia amboinensis meeki
2032,subspecies,,Macropygia amboinensis admiralitatis
2033,subspecies,,Macropygia amboinensis hueskeri
2034,subspecies,,Macropygia amboinensis carteretia
2035,subspecies,,Macropygia amboinensis cinereiceps
2036,subspecies,,Macropygia amboinensis cunctata
2037,species,Sultan's Cuckoo-Dove,Macropygia doreya
2038,group (polytypic),Sultan's Cuckoo-Dove (Sulawesi),Macropygia doreya [albicapilla Group]
2039,subspecies,,Macropygia doreya sanghirensis
2040,subspecies,,Macropygia doreya albicapilla
2041,subspecies,,Macropygia doreya atrata
2042,subspecies,,Macropygia doreya sedecima
2043,group (polytypic),Sultan's Cuckoo-Dove (Sultan's),Macropygia doreya [doreya Group]
2044,subspecies,,Macropygia doreya albiceps
2045,subspecies,,Macropygia doreya doreya
2046,subspecies,,Macropygia doreya balim
2047,slash,Amboyna/Sultan's Cuckoo-Dove,Macropygia amboinensis/doreya
2048,species,Andaman Cuckoo-Dove,Macropygia rufipennis
2049,species,Philippine Cuckoo-Dove,Macropygia tenuirostris
2050,subspecies,,Macropygia tenuirostris septentrionalis
2051,subspecies,,Macropygia tenuirostris phaea
2052,subspecies,,Macropygia tenuirostris tenuirostris
2053,subspecies,,Macropygia tenuirostris borneensis
2054,form,Palawan Cuckoo-Dove (undescribed form),Macropygia [undescribed form]
2055,species,Ruddy Cuckoo-Dove,Macropygia emiliana
2056,subspecies,,Macropygia emiliana emiliana
2057,subspecies,,Macropygia emiliana megala
2058,species,Enggano Cuckoo-Dove,Macropygia cinnamomea
2059,species,Barusan Cuckoo-Dove,Macropygia modiglianii
2060,subspecies,,Macropygia modiglianii hypopercna
2061,subspecies,,Macropygia modiglianii modiglianii
2062,subspecies,,Macropygia modiglianii elassa
2063,species,Black-billed Cuckoo-Dove,Macropygia nigrirostris
2064,species,Mackinlay's Cuckoo-Dove,Macropygia mackinlayi
2065,subspecies,,Macropygia mackinlayi arossi
2066,subspecies,,Macropygia mackinlayi mackinlayi
2067,species,Little Cuckoo-Dove,Macropygia ruficeps
2068,subspecies,,Macropygia ruficeps assimilis
2069,subspecies,,Macropygia ruficeps engelbachi
2070,subspecies,,Macropygia ruficeps malayana
2071,subspecies,,Macropygia ruficeps simalurensis
2072,subspecies,,Macropygia ruficeps sumatrana
2073,subspecies,,Macropygia ruficeps nana
2074,subspecies,,Macropygia ruficeps ruficeps
2075,subspecies,,Macropygia ruficeps orientalis
2076,spuh,Macropygia sp.,Macropygia sp.
2077,species,Great Cuckoo-Dove,Reinwardtoena reinwardti
2078,subspecies,,Reinwardtoena reinwardti reinwardti
2079,subspecies,,Reinwardtoena reinwardti griseotincta
2080,subspecies,,Reinwardtoena reinwardti brevis
2081,species,Pied Cuckoo-Dove,Reinwardtoena browni
2082,species,Crested Cuckoo-Dove,Reinwardtoena crassirostris
2083,species,White-faced Cuckoo-Dove,Turacoena manadensis
2084,species,Sula Cuckoo-Dove,Turacoena sulaensis
2085,species,Slaty Cuckoo-Dove,Turacoena modesta
2086,species,Emerald-spotted Wood-Dove,Turtur chalcospilos
2087,species,Black-billed Wood-Dove,Turtur abyssinicus
2088,species,Blue-spotted Wood-Dove,Turtur afer
2089,species,Tambourine Dove,Turtur tympanistria
2090,species,Blue-headed Wood-Dove,Turtur brehmeri
2091,subspecies,,Turtur brehmeri infelix
2092,subspecies,,Turtur brehmeri brehmeri
2093,spuh,Turtur sp.,Turtur sp.
2094,species,Namaqua Dove,Oena capensis
2095,subspecies,,Oena capensis capensis
2096,subspecies,,Oena capensis aliena
2097,species,Asian Emerald Dove,Chalcophaps indica
2098,subspecies,,Chalcophaps indica indica
2099,subspecies,,Chalcophaps indica robinsoni
2100,subspecies,,Chalcophaps indica natalis
2101,subspecies,,Chalcophaps indica minima
2102,subspecies,,Chalcophaps indica augusta
2103,species,Pacific Emerald Dove,Chalcophaps longirostris
2104,subspecies,,Chalcophaps longirostris rogersi
2105,subspecies,,Chalcophaps longirostris longirostris
2106,subspecies,,Chalcophaps longirostris sandwichensis
2107,hybrid,Asian x Pacific Emerald Dove (hybrid),Chalcophaps indica x longirostris
2108,slash,Asian/Pacific Emerald Dove,Chalcophaps indica/longirostris
2109,species,Stephan's Dove,Chalcophaps stephani
2110,subspecies,,Chalcophaps stephani wallacei
2111,subspecies,,Chalcophaps stephani stephani
2112,subspecies,,Chalcophaps stephani mortoni
2113,species,New Guinea Bronzewing,Henicophaps albifrons
2114,subspecies,,Henicophaps albifrons albifrons
2115,subspecies,,Henicophaps albifrons schlegeli
2116,species,New Britain Bronzewing,Henicophaps foersteri
2117,species,Wetar Ground Dove,Alopecoenas hoedtii
2118,species,Shy Ground Dove,Alopecoenas stairi
2119,species,Santa Cruz Ground Dove,Alopecoenas sanctaecrucis
2120,species,Thick-billed Ground Dove,Alopecoenas salamonis
2121,species,Tanna Ground Dove,Alopecoenas ferrugineus
2122,species,Bronze Ground Dove,Alopecoenas beccarii
2123,group (monotypic),Bronze Ground Dove (Western),Alopecoenas beccarii beccarii
2124,group (polytypic),Bronze Ground Dove (Eastern),Alopecoenas beccarii [johannae Group]
2125,subspecies,,Alopecoenas beccarii johannae
2126,subspecies,,Alopecoenas beccarii eichhorni
2127,subspecies,,Alopecoenas beccarii admiralitatis
2128,subspecies,,Alopecoenas beccarii masculinus
2129,subspecies,,Alopecoenas beccarii intermedius
2130,subspecies,,Alopecoenas beccarii solomonensis
2131,species,Palau Ground Dove,Alopecoenas canifrons
2132,species,White-bibbed Ground Dove,Alopecoenas jobiensis
2133,subspecies,,Alopecoenas jobiensis jobiensis
2134,subspecies,,Alopecoenas jobiensis chalconotus
2135,species,Marquesas Ground Dove,Alopecoenas rubescens
2136,species,Caroline Islands Ground Dove,Alopecoenas kubaryi
2137,species,Polynesian Ground Dove,Alopecoenas erythropterus
2138,species,White-throated Ground Dove,Alopecoenas xanthonurus
2139,species,Norfolk Ground Dove,Alopecoenas norfolkensis
2140,species,Common Bronzewing,Phaps chalcoptera
2141,species,Brush Bronzewing,Phaps elegans
2142,subspecies,,Phaps elegans occidentalis
2143,subspecies,,Phaps elegans elegans
2144,species,Flock Bronzewing,Phaps histrionica
2145,species,Crested Pigeon,Ocyphaps lophotes
2146,subspecies,,Ocyphaps lophotes whitlocki
2147,subspecies,,Ocyphaps lophotes lophotes
2148,species,Spinifex Pigeon,Geophaps plumifera
2149,group (monotypic),Spinifex Pigeon (Rufous-bellied),Geophaps plumifera ferruginea
2150,group (polytypic),Spinifex Pigeon (White-bellied),Geophaps plumifera plumifera/leucogaster
2151,subspecies,,Geophaps plumifera plumifera
2152,subspecies,,Geophaps plumifera leucogaster
2153,species,Squatter Pigeon,Geophaps scripta
2154,subspecies,,Geophaps scripta peninsulae
2155,subspecies,,Geophaps scripta scripta
2156,species,Partridge Pigeon,Geophaps smithii
2157,subspecies,,Geophaps smithii blaauwi
2158,subspecies,,Geophaps smithii smithii
2159,species,Chestnut-quilled Rock-Pigeon,Petrophassa rufipennis
2160,species,White-quilled Rock-Pigeon,Petrophassa albipennis
2161,subspecies,,Petrophassa albipennis albipennis
2162,subspecies,,Petrophassa albipennis boothi
2163,species,Wonga Pigeon,Leucosarcia melanoleuca
2164,species,Diamond Dove,Geopelia cuneata
2165,species,Zebra Dove,Geopelia striata
2166,species,Peaceful Dove,Geopelia placida
2167,subspecies,,Geopelia placida papua
2168,subspecies,,Geopelia placida placida
2169,subspecies,,Geopelia placida clelandi
2170,species,Barred Dove,Geopelia maugeus
2171,species,Bar-shouldered Dove,Geopelia humeralis
2172,subspecies,,Geopelia humeralis gregalis
2173,subspecies,,Geopelia humeralis humeralis
2174,subspecies,,Geopelia humeralis headlandi
2175,species,Inca Dove,Columbina inca
2176,species,Common Ground Dove,Columbina passerina
2177,subspecies,,Columbina passerina passerina
2178,subspecies,,Columbina passerina pallescens
2179,subspecies,,Columbina passerina socorroensis
2180,subspecies,,Columbina passerina neglecta
2181,subspecies,,Columbina passerina bahamensis
2182,subspecies,,Columbina passerina exigua
2183,subspecies,,Columbina passerina insularis
2184,subspecies,,Columbina passerina jamaicensis
2185,subspecies,,Columbina passerina navassae
2186,subspecies,,Columbina passerina portoricensis
2187,subspecies,,Columbina passerina nigrirostris
2188,subspecies,,Columbina passerina trochila
2189,subspecies,,Columbina passerina antillarum
2190,subspecies,,Columbina passerina albivitta
2191,subspecies,,Columbina passerina parvula
2192,subspecies,,Columbina passerina nana
2193,subspecies,,Columbina passerina quitensis
2194,subspecies,,Columbina passerina griseola
2195,species,Plain-breasted Ground Dove,Columbina minuta
2196,subspecies,,Columbina minuta interrupta
2197,subspecies,,Columbina minuta elaeodes
2198,subspecies,,Columbina minuta minuta
2199,subspecies,,Columbina minuta amazilia
2200,species,Ruddy Ground Dove,Columbina talpacoti
2201,subspecies,,Columbina talpacoti eluta
2202,subspecies,,Columbina talpacoti rufipennis
2203,subspecies,,Columbina talpacoti caucae
2204,subspecies,,Columbina talpacoti talpacoti
2205,slash,Common/Ruddy Ground Dove,Columbina passerina/talpacoti
2206,species,Ecuadorian Ground Dove,Columbina buckleyi
2207,species,Scaled Dove,Columbina squammata
2208,subspecies,,Columbina squammata ridgwayi
2209,subspecies,,Columbina squammata squammata
2210,species,Picui Ground Dove,Columbina picui
2211,subspecies,,Columbina picui strepitans
2212,subspecies,,Columbina picui picui
2213,species,Croaking Ground Dove,Columbina cruziana
2214,species,Blue-eyed Ground Dove,Columbina cyanopis
2215,spuh,ground dove/Inca Dove sp.,Columbina sp.
2216,species,Blue Ground Dove,Claravis pretiosa
2217,species,Maroon-chested Ground Dove,Paraclaravis mondetoura
2218,subspecies,,Paraclaravis mondetoura ochoterena
2219,subspecies,,Paraclaravis mondetoura salvini
2220,subspecies,,Paraclaravis mondetoura umbrina
2221,subspecies,,Paraclaravis mondetoura pulchra
2222,subspecies,,Paraclaravis mondetoura mondetoura
2223,subspecies,,Paraclaravis mondetoura inca
2224,species,Purple-winged Ground Dove,Paraclaravis geoffroyi
2225,species,Bare-faced Ground Dove,Metriopelia ceciliae
2226,subspecies,,Metriopelia ceciliae ceciliae
2227,subspecies,,Metriopelia ceciliae obsoleta
2228,subspecies,,Metriopelia ceciliae zimmeri
2229,species,Bare-eyed Ground Dove,Metriopelia morenoi
2230,species,Black-winged Ground Dove,Metriopelia melanoptera
2231,subspecies,,Metriopelia melanoptera saturatior
2232,subspecies,,Metriopelia melanoptera melanoptera
2233,species,Golden-spotted Ground Dove,Metriopelia aymara
2234,species,Long-tailed Ground Dove,Uropelia campestris
2235,species,Blue-headed Quail-Dove,Starnoenas cyanocephala
2236,species,Purple Quail-Dove,Geotrygon purpurata
2237,species,Sapphire Quail-Dove,Geotrygon saphirina
2238,subspecies,,Geotrygon saphirina saphirina
2239,subspecies,,Geotrygon saphirina rothschildi
2240,species,Crested Quail-Dove,Geotrygon versicolor
2241,species,Ruddy Quail-Dove,Geotrygon montana
2242,group (monotypic),Ruddy Quail-Dove (Ruddy),Geotrygon montana montana
2243,group (monotypic),Ruddy Quail-Dove (Martinique),Geotrygon montana martinica
2244,species,Violaceous Quail-Dove,Geotrygon violacea
2245,subspecies,,Geotrygon violacea albiventer
2246,subspecies,,Geotrygon violacea violacea
2247,species,Gray-fronted Quail-Dove,Geotrygon caniceps
2248,species,White-fronted Quail-Dove,Geotrygon leucometopia
2249,species,Key West Quail-Dove,Geotrygon chrysia
2250,species,Bridled Quail-Dove,Geotrygon mystacea
2251,species,Olive-backed Quail-Dove,Leptotrygon veraguensis
2252,species,White-tipped Dove,Leptotila verreauxi
2253,group (polytypic),White-tipped Dove (White-tipped),Leptotila verreauxi [verreauxi Group]
2254,subspecies,,Leptotila verreauxi capitalis
2255,subspecies,,Leptotila verreauxi angelica
2256,subspecies,,Leptotila verreauxi fulviventris
2257,subspecies,,Leptotila verreauxi bangsi
2258,subspecies,,Leptotila verreauxi nuttingi
2259,subspecies,,Leptotila verreauxi riottei
2260,subspecies,,Leptotila verreauxi verreauxi
2261,subspecies,,Leptotila verreauxi zapluta
2262,subspecies,,Leptotila verreauxi tobagensis
2263,group (monotypic),White-tipped Dove (decolor),Leptotila verreauxi decolor
2264,group (polytypic),White-tipped Dove (brasiliensis Group),Leptotila verreauxi [brasiliensis Group]
2265,subspecies,,Leptotila verreauxi brasiliensis
2266,subspecies,,Leptotila verreauxi approximans
2267,subspecies,,Leptotila verreauxi decipiens
2268,subspecies,,Leptotila verreauxi chalcauchenia
2269,species,Caribbean Dove,Leptotila jamaicensis
2270,subspecies,,Leptotila jamaicensis gaumeri
2271,subspecies,,Leptotila jamaicensis collaris
2272,subspecies,,Leptotila jamaicensis jamaicensis
2273,subspecies,,Leptotila jamaicensis neoxena
2274,species,Gray-chested Dove,Leptotila cassinii
2275,group (monotypic),Gray-chested Dove (cerviniventris),Leptotila cassinii cerviniventris
2276,group (monotypic),Gray-chested Dove (rufinucha),Leptotila cassinii rufinucha
2277,group (monotypic),Gray-chested Dove (cassinii),Leptotila cassinii cassinii
2278,species,Tolima Dove,Leptotila conoveri
2279,species,Ochre-bellied Dove,Leptotila ochraceiventris
2280,species,Gray-headed Dove,Leptotila plumbeiceps
2281,group (polytypic),Gray-headed Dove (Gray-headed),Leptotila plumbeiceps plumbeiceps/notia
2282,subspecies,,Leptotila plumbeiceps plumbeiceps
2283,subspecies,,Leptotila plumbeiceps notia
2284,group (polytypic),Gray-headed Dove (Brown-backed),Leptotila plumbeiceps battyi/malae
2285,subspecies,,Leptotila plumbeiceps malae
2286,subspecies,,Leptotila plumbeiceps battyi
2287,species,Gray-fronted Dove,Leptotila rufaxilla
2288,subspecies,,Leptotila rufaxilla pallidipectus
2289,subspecies,,Leptotila rufaxilla dubusi
2290,subspecies,,Leptotila rufaxilla rufaxilla
2291,subspecies,,Leptotila rufaxilla hellmayri
2292,subspecies,,Leptotila rufaxilla bahiae
2293,subspecies,,Leptotila rufaxilla reichenbachii
2294,species,Grenada Dove,Leptotila wellsi
2295,species,Pallid Dove,Leptotila pallida
2296,species,Large-tailed Dove,Leptotila megalura
2297,spuh,Leptotila sp.,Leptotila sp.
2298,species,Tuxtla Quail-Dove,Zentrygon carrikeri
2299,species,Buff-fronted Quail-Dove,Zentrygon costaricensis
2300,species,Purplish-backed Quail-Dove,Zentrygon lawrencii
2301,species,White-faced Quail-Dove,Zentrygon albifacies
2302,species,White-throated Quail-Dove,Zentrygon frenata
2303,subspecies,,Zentrygon frenata bourcieri
2304,subspecies,,Zentrygon frenata erythropareia
2305,subspecies,,Zentrygon frenata frenata
2306,subspecies,,Zentrygon frenata margaritae
2307,species,Lined Quail-Dove,Zentrygon linearis
2308,group (monotypic),Lined Quail-Dove (linearis),Zentrygon linearis linearis
2309,group (monotypic),Lined Quail-Dove (trinitatis),Zentrygon linearis trinitatis
2310,species,Chiriqui Quail-Dove,Zentrygon chiriquensis
2311,species,Russet-crowned Quail-Dove,Zentrygon goldmani
2312,subspecies,,Zentrygon goldmani oreas
2313,subspecies,,Zentrygon goldmani goldmani
2314,spuh,quail-dove sp.,Geotrygon/Leptotrygon/Zentrygon sp.
2315,species,West Peruvian Dove,Zenaida meloda
2316,species,White-winged Dove,Zenaida asiatica
2317,subspecies,,Zenaida asiatica mearnsi
2318,subspecies,,Zenaida asiatica asiatica
2319,subspecies,,Zenaida asiatica australis
2320,species,Zenaida Dove,Zenaida aurita
2321,subspecies,,Zenaida aurita salvadorii
2322,subspecies,,Zenaida aurita zenaida
2323,subspecies,,Zenaida aurita aurita
2324,species,Galapagos Dove,Zenaida galapagoensis
2325,subspecies,,Zenaida galapagoensis galapagoensis
2326,subspecies,,Zenaida galapagoensis exsul
2327,species,Eared Dove,Zenaida auriculata
2328,subspecies,,Zenaida auriculata stenura
2329,subspecies,,Zenaida auriculata hypoleuca
2330,subspecies,,Zenaida auriculata caucae
2331,subspecies,,Zenaida auriculata antioquiae
2332,subspecies,,Zenaida auriculata pentheria
2333,subspecies,,Zenaida auriculata vinaceorufa
2334,subspecies,,Zenaida auriculata jessieae
2335,subspecies,,Zenaida auriculata marajoensis
2336,subspecies,,Zenaida auriculata noronha
2337,subspecies,,Zenaida auriculata chrysauchenia
2338,subspecies,,Zenaida auriculata auriculata
2339,species,Mourning Dove,Zenaida macroura
2340,subspecies,,Zenaida macroura marginella
2341,subspecies,,Zenaida macroura carolinensis
2342,subspecies,,Zenaida macroura macroura
2343,subspecies,,Zenaida macroura clarionensis
2344,subspecies,,Zenaida macroura turturilla
2345,hybrid,Eurasian Collared-Dove x Mourning Dove (hybrid),Streptopelia decaocto x Zenaida macroura
2346,species,Socorro Dove,Zenaida graysoni
2347,species,Nicobar Pigeon,Caloenas nicobarica
2348,subspecies,,Caloenas nicobarica nicobarica
2349,subspecies,,Caloenas nicobarica pelewensis
2350,species,Spotted Green Pigeon,Caloenas maculata
2351,species,Dodo,Raphus cucullatus
2352,species,Rodrigues Solitaire,Pezophaps solitaria
2353,species,Sulawesi Ground Dove,Gallicolumba tristigmata
2354,subspecies,,Gallicolumba tristigmata tristigmata
2355,subspecies,,Gallicolumba tristigmata bimaculata
2356,subspecies,,Gallicolumba tristigmata auripectus
2357,species,Cinnamon Ground Dove,Gallicolumba rufigula
2358,subspecies,,Gallicolumba rufigula rufigula
2359,subspecies,,Gallicolumba rufigula septentrionalis
2360,subspecies,,Gallicolumba rufigula helviventris
2361,subspecies,,Gallicolumba rufigula alaris
2362,subspecies,,Gallicolumba rufigula orientalis
2363,species,Mindoro Bleeding-heart,Gallicolumba platenae
2364,species,Negros Bleeding-heart,Gallicolumba keayi
2365,species,Sulu Bleeding-heart,Gallicolumba menagei
2366,species,Luzon Bleeding-heart,Gallicolumba luzonica
2367,subspecies,,Gallicolumba luzonica griseolateralis
2368,subspecies,,Gallicolumba luzonica luzonica
2369,subspecies,,Gallicolumba luzonica rubiventris
2370,species,Mindanao Bleeding-heart,Gallicolumba crinigera
2371,subspecies,,Gallicolumba crinigera leytensis
2372,subspecies,,Gallicolumba crinigera crinigera
2373,subspecies,,Gallicolumba crinigera bartletti
2374,species,Choiseul Pigeon,Microgoura meeki
2375,species,Thick-billed Ground-Pigeon,Trugon terrestris
2376,subspecies,,Trugon terrestris terrestris
2377,subspecies,,Trugon terrestris mayri
2378,subspecies,,Trugon terrestris leucopareia
2379,species,Pheasant Pigeon,Otidiphaps nobilis
2380,group (monotypic),Pheasant Pigeon (Green-naped),Otidiphaps nobilis nobilis
2381,group (monotypic),Pheasant Pigeon (White-naped),Otidiphaps nobilis aruensis
2382,group (monotypic),Pheasant Pigeon (Gray-naped),Otidiphaps nobilis cervicalis
2383,group (monotypic),Pheasant Pigeon (Black-naped),Otidiphaps nobilis insularis
2384,species,Western Crowned-Pigeon,Goura cristata
2385,species,Sclater's Crowned-Pigeon,Goura sclaterii
2386,species,Scheepmaker's Crowned-Pigeon,Goura scheepmakeri
2387,species,Victoria Crowned-Pigeon,Goura victoria
2388,subspecies,,Goura victoria victoria
2389,subspecies,,Goura victoria beccarii
2390,spuh,crowned-pigeon sp.,Goura sp.
2391,species,Tooth-billed Pigeon,Didunculus strigirostris
2392,species,White-eared Brown-Dove,Phapitreron leucotis
2393,group (monotypic),White-eared Brown-Dove (White-eared),Phapitreron leucotis leucotis
2394,group (monotypic),White-eared Brown-Dove (Buff-eared),Phapitreron leucotis nigrorum
2395,group (polytypic),White-eared Brown-Dove (Short-billed),Phapitreron leucotis brevirostris/occipitalis
2396,subspecies,,Phapitreron leucotis brevirostris
2397,subspecies,,Phapitreron leucotis occipitalis
2398,species,Amethyst Brown-Dove,Phapitreron amethystinus
2399,group (polytypic),Amethyst Brown-Dove (Amethyst),Phapitreron amethystinus amethystinus/imeldae
2400,subspecies,,Phapitreron amethystinus amethystinus
2401,subspecies,,Phapitreron amethystinus imeldae
2402,group (monotypic),Amethyst Brown-Dove (Gray-breasted),Phapitreron amethystinus maculipectus
2403,group (monotypic),Amethyst Brown-Dove (Cebu),Phapitreron amethystinus frontalis
2404,species,Mindanao Brown-Dove,Phapitreron brunneiceps
2405,species,Tawitawi Brown-Dove,Phapitreron cinereiceps
2406,spuh,brown-dove sp.,Phapitreron sp.
2407,species,Little Green-Pigeon,Treron olax
2408,species,Pink-necked Green-Pigeon,Treron vernans
2409,species,Cinnamon-headed Green-Pigeon,Treron fulvicollis
2410,subspecies,,Treron fulvicollis fulvicollis
2411,subspecies,,Treron fulvicollis melopogenys
2412,subspecies,,Treron fulvicollis oberholseri
2413,subspecies,,Treron fulvicollis baramensis
2414,species,Orange-breasted Green-Pigeon,Treron bicinctus
2415,subspecies,,Treron bicinctus bicinctus
2416,subspecies,,Treron bicinctus leggei
2417,subspecies,,Treron bicinctus domvilii
2418,subspecies,,Treron bicinctus javanus
2419,species,Sri Lanka Green-Pigeon,Treron pompadora
2420,species,Gray-fronted Green-Pigeon,Treron affinis
2421,species,Andaman Green-Pigeon,Treron chloropterus
2422,species,Ashy-headed Green-Pigeon,Treron phayrei
2423,species,Philippine Green-Pigeon,Treron axillaris
2424,subspecies,,Treron axillaris amadoni
2425,subspecies,,Treron axillaris axillaris
2426,subspecies,,Treron axillaris canescens
2427,subspecies,,Treron axillaris everetti
2428,species,Buru Green-Pigeon,Treron aromaticus
2429,species,Thick-billed Green-Pigeon,Treron curvirostra
2430,group (monotypic),Thick-billed Green-Pigeon (Thick-billed),Treron curvirostra curvirostra
2431,group (monotypic),Thick-billed Green-Pigeon (Barusan),Treron curvirostra hypothapsinus
2432,species,Gray-cheeked Green-Pigeon,Treron griseicauda
2433,subspecies,,Treron griseicauda sangirensis
2434,subspecies,,Treron griseicauda wallacei
2435,subspecies,,Treron griseicauda griseicauda
2436,subspecies,,Treron griseicauda vordermani
2437,species,Sumba Green-Pigeon,Treron teysmannii
2438,species,Flores Green-Pigeon,Treron floris
2439,species,Timor Green-Pigeon,Treron psittaceus
2440,species,Large Green-Pigeon,Treron capellei
2441,species,Yellow-footed Green-Pigeon,Treron phoenicopterus
2442,subspecies,,Treron phoenicopterus phillipsi
2443,subspecies,,Treron phoenicopterus chlorigaster
2444,subspecies,,Treron phoenicopterus phoenicopterus
2445,subspecies,,Treron phoenicopterus viridifrons
2446,subspecies,,Treron phoenicopterus annamensis
2447,species,Bruce's Green-Pigeon,Treron waalia
2448,species,Comoros Green-Pigeon,Treron griveaudi
2449,species,Madagascar Green-Pigeon,Treron australis
2450,subspecies,,Treron australis xenius
2451,subspecies,,Treron australis australis
2452,species,Pemba Green-Pigeon,Treron pembaensis
2453,species,Sao Tome Green-Pigeon,Treron sanctithomae
2454,species,Yellow-vented Green-Pigeon,Treron seimundi
2455,subspecies,,Treron seimundi seimundi
2456,subspecies,,Treron seimundi modestus
2457,species,Pin-tailed Green-Pigeon,Treron apicauda
2458,subspecies,,Treron apicauda apicauda
2459,subspecies,,Treron apicauda lowei
2460,subspecies,,Treron apicauda laotianus
2461,species,African Green-Pigeon,Treron calvus
2462,group (polytypic),African Green-Pigeon (African),Treron calvus [calvus Group]
2463,subspecies,,Treron calvus nudirostris
2464,subspecies,,Treron calvus sharpei
2465,subspecies,,Treron calvus calvus
2466,subspecies,,Treron calvus poensis
2467,subspecies,,Treron calvus virescens
2468,subspecies,,Treron calvus uellensis
2469,subspecies,,Treron calvus brevicera
2470,subspecies,,Treron calvus salvadorii
2471,subspecies,,Treron calvus gibberifrons
2472,subspecies,,Treron calvus wakefieldii
2473,subspecies,,Treron calvus orientalis
2474,subspecies,,Treron calvus schalowi
2475,subspecies,,Treron calvus ansorgei
2476,subspecies,,Treron calvus vylderi
2477,group (polytypic),African Green-Pigeon (Gray-breasted),Treron calvus delalandii/granti
2478,subspecies,,Treron calvus delalandii
2479,subspecies,,Treron calvus granti
2480,species,Green-spectacled Green-Pigeon,Treron oxyurus
2481,species,Wedge-tailed Green-Pigeon,Treron sphenurus
2482,subspecies,,Treron sphenurus sphenurus
2483,subspecies,,Treron sphenurus robinsoni
2484,subspecies,,Treron sphenurus korthalsi
2485,species,White-bellied Green-Pigeon,Treron sieboldii
2486,subspecies,,Treron sieboldii sieboldii
2487,subspecies,,Treron sieboldii fopingensis
2488,subspecies,,Treron sieboldii murielae
2489,species,Whistling Green-Pigeon,Treron formosae
2490,group (polytypic),Whistling Green-Pigeon (Ryukyu),Treron formosae permagnus/medioximus
2491,subspecies,,Treron formosae permagnus
2492,subspecies,,Treron formosae medioximus
2493,group (polytypic),Whistling Green-Pigeon (Taiwan),Treron formosae formosae/filipinus
2494,subspecies,,Treron formosae formosae
2495,subspecies,,Treron formosae filipinus
2496,spuh,green-pigeon sp.,Treron sp.
2497,species,Black-backed Fruit-Dove,Ptilinopus cinctus
2498,subspecies,,Ptilinopus cinctus baliensis
2499,subspecies,,Ptilinopus cinctus albocinctus
2500,subspecies,,Ptilinopus cinctus everetti
2501,subspecies,,Ptilinopus cinctus cinctus
2502,subspecies,,Ptilinopus cinctus lettiensis
2503,subspecies,,Ptilinopus cinctus ottonis
2504,species,Black-banded Fruit-Dove,Ptilinopus alligator
2505,species,Red-naped Fruit-Dove,Ptilinopus dohertyi
2506,species,Pink-headed Fruit-Dove,Ptilinopus porphyreus
2507,species,Yellow-breasted Fruit-Dove,Ptilinopus occipitalis
2508,subspecies,,Ptilinopus occipitalis occipitalis
2509,subspecies,,Ptilinopus occipitalis incognitus
2510,species,Flame-breasted Fruit-Dove,Ptilinopus marchei
2511,species,Cream-breasted Fruit-Dove,Ptilinopus merrilli
2512,subspecies,,Ptilinopus merrilli faustinoi
2513,subspecies,,Ptilinopus merrilli merrilli
2514,species,Red-eared Fruit-Dove,Ptilinopus fischeri
2515,group (polytypic),Red-eared Fruit-Dove (Red-eared),Ptilinopus fischeri fischeri/centralis
2516,subspecies,,Ptilinopus fischeri fischeri
2517,subspecies,,Ptilinopus fischeri centralis
2518,group (monotypic),Red-eared Fruit-Dove (Lompobattang),Ptilinopus fischeri meridionalis
2519,species,Jambu Fruit-Dove,Ptilinopus jambu
2520,species,Maroon-chinned Fruit-Dove,Ptilinopus epius
2521,species,Banggai Fruit-Dove,Ptilinopus subgularis
2522,species,Sula Fruit-Dove,Ptilinopus mangoliensis
2523,species,Black-chinned Fruit-Dove,Ptilinopus leclancheri
2524,subspecies,,Ptilinopus leclancheri longialis
2525,subspecies,,Ptilinopus leclancheri leclancheri
2526,subspecies,,Ptilinopus leclancheri gironieri
2527,species,Scarlet-breasted Fruit-Dove,Ptilinopus bernsteinii
2528,subspecies,,Ptilinopus bernsteinii bernsteinii
2529,subspecies,,Ptilinopus bernsteinii micrus
2530,species,Wompoo Fruit-Dove,Ptilinopus magnificus
2531,subspecies,,Ptilinopus magnificus alaris
2532,subspecies,,Ptilinopus magnificus puella
2533,subspecies,,Ptilinopus magnificus interpositus
2534,subspecies,,Ptilinopus magnificus septentrionalis
2535,subspecies,,Ptilinopus magnificus poliurus
2536,subspecies,,Ptilinopus magnificus assimilis
2537,subspecies,,Ptilinopus magnificus keri
2538,subspecies,,Ptilinopus magnificus magnificus
2539,species,Pink-spotted Fruit-Dove,Ptilinopus perlatus
2540,subspecies,,Ptilinopus perlatus perlatus
